DATE,USD_W,DT_W,V_W
13/12/2009,"18,476.50",73.36,"1,110.80"
20/12/2009,"18,472.00",78.05,"1,104.10"
27/12/2009,"18,474.00",79.36,"1,095.20"
3/1/2010,"18,474.00",82.75,"1,138.20"
10/1/2010,"18,469.50",78,"1,130.10"
17/01/2010,"18,474.00",74.54,"1,089.20"
24/01/2010,"18,474.00",72.89,"1,083.00"
31/01/2010,"18,474.00",71.19,"1,052.20"
7/2/2010,"18,900.00",74.13,"1,089.50"
14/02/2010,"18,850.00",79.81,"1,121.30"
21/02/2010,"19,050.00",79.66,"1,118.30"
28/02/2010,"18,890.00",81.5,"1,134.80"
7/3/2010,"18,895.00",81.24,"1,101.50"
14/03/2010,"18,890.00",80.68,"1,107.40"
21/03/2010,"19,085.00",80,"1,104.20"
28/03/2010,"19,080.00",84.87,"1,125.10"
4/4/2010,"19,050.00",84.92,"1,161.10"
11/4/2010,"18,975.00",83.24,"1,136.30"
18/04/2010,"18,980.00",85.12,"1,153.10"
25/04/2010,"18,975.00",86.15,"1,180.10"
2/5/2010,"19,000.00",75.11,"1,210.00"
9/5/2010,"19,025.00",71.61,"1,227.40"
16/05/2010,"18,995.00",70.04,"1,175.70"
23/05/2010,"18,990.00",73.97,"1,212.20"
30/05/2010,"18,980.00",71.51,"1,216.20"
6/6/2010,"18,975.00",73.78,"1,228.90"
13/06/2010,"19,000.00",77.18,"1,257.20"
20/06/2010,"18,995.00",78.86,"1,255.80"
27/06/2010,"19,077.50",72.14,"1,207.40"
4/7/2010,"19,095.00",76.09,"1,209.60"
11/7/2010,"19,092.50",76.01,"1,188.00"
18/07/2010,"19,097.50",78.98,"1,187.70"
25/07/2010,"19,075.00",78.95,"1,181.70"
1/8/2010,"19,095.00",80.7,"1,203.40"
8/8/2010,"19,270.00",75.39,"1,214.90"
15/08/2010,"19,480.00",73.46,"1,227.20"
22/08/2010,"19,480.00",75.17,"1,236.00"
29/08/2010,"19,485.00",74.6,"1,249.20"
